Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-184.17274	19.467579	-148.14879	-214.00204	-168.68819	14.819785	-147.868	-193.24657	110.0	110.0	34649	-189.04327	19.126274	-139.51038	-267.27313	-189.0433	19.126703	-139.34729	-267.11218	0.8921805	1.7817988	7.4927716	-10.440846	187.17784	2.1240783	331.52499437332153
22	-175.69824	20.39348	-122.08107	-207.2208	-155.21347	25.511478	-90.97504	-192.53014	110.0	110.0	36299	-194.15358	19.573883	-144.73172	-272.7237	-194.15347	19.574297	-144.87662	-272.6394	0.85493535	1.775857	7.6728373	-10.257921	192.37204	2.052001	348.19488644599915
23	-176.22531	22.170631	-132.85793	-217.15031	-157.79233	18.690392	-125.2863	-185.02576	110.0	110.0	37949	-199.3736	19.679363	-150.23064	-279.36963	-199.37355	19.679384	-149.97525	-278.8846	0.81637406	1.7578709	7.2650137	-9.518862	197.66595	2.0965915	364.4030587673187
24	-170.87936	29.385035	-109.37679	-209.53955	-170.98398	22.533953	-116.82613	-202.73904	110.0	110.0	39599	-204.77486	19.726013	-154.93716	-282.5287	-204.77478	19.725521	-154.6112	-283.485	0.7875037	1.7538135	7.371908	-8.9378605	203.1377	2.0447135	381.66497135162354
25	-168.79196	31.93807	-94.59792	-208.49603	-168.5072	20.919895	-129.65541	-197.23344	110.0	110.0	41249	-209.12366	19.877644	-159.21704	-289.67252	-209.12369	19.878101	-158.91684	-288.97684	0.75195104	1.7470181	7.644185	-10.209454	207.54936	2.0962155	400.084148645401
26	-179.09903	22.31309	-137.53448	-210.8684	-177.56218	18.513966	-145.57474	-199.74002	110.0	110.0	42899	-213.76123	20.067308	-163.88895	-293.23053	-213.76094	20.066704	-163.9254	-292.42834	0.7200017	1.7356049	7.6109867	-8.77738	212.23656	2.1337237	417.0501697063446
27	-166.83398	25.968616	-105.85179	-206.01173	-160.11992	17.397993	-138.36891	-191.901	110.0	110.0	44549	-218.05315	20.158684	-168.75293	-296.44537	-218.05292	20.157747	-168.31038	-296.85474	0.68505025	1.7297276	7.65152	-10.939068	216.58815	2.1320074	434.45665431022644
28	-167.72496	27.131598	-100.94186	-201.3259	-154.2561	17.222246	-114.750854	-176.02495	110.0	110.0	46199	-221.75923	20.396423	-172.254	-299.57367	-221.75917	20.395164	-172.64777	-299.2782	0.6537969	1.7195095	7.8339295	-11.077066	220.35162	2.1601484	451.09664511680603
29	-154.23233	28.18591	-101.66023	-205.4035	-153.16504	28.529318	-117.36932	-204.97238	110.0	110.0	47849	-225.39804	20.481752	-175.06865	-303.93668	-225.39816	20.480219	-175.38416	-304.43982	0.6424762	1.7197987	8.320629	-10.458293	224.03296	2.2124784	467.5453026294708
30	-175.64258	19.41738	-121.77295	-201.49696	-148.03387	25.053766	-101.63919	-190.15451	110.0	110.0	49499	-228.72017	20.494099	-178.51357	-307.57074	-228.71997	20.49373	-178.73088	-308.4877	0.6229611	1.7049829	7.861779	-11.204746	227.39699	2.2615237	485.30082178115845
31	-175.49323	24.139198	-131.6891	-224.48949	-157.55878	35.13864	-73.65229	-200.8695	110.0	110.0	51149	-231.92094	20.571014	-181.52203	-310.55695	-231.92062	20.57127	-181.7658	-310.61285	0.6108428	1.7003648	8.223225	-9.747671	230.63145	2.226321	503.8268141746521
32	-161.27422	24.19232	-123.005035	-210.45523	-156.75764	18.522112	-122.965225	-180.59393	110.0	110.0	52799	-234.65968	20.593307	-185.03162	-314.08392	-234.65955	20.59416	-185.1316	-315.35538	0.5950269	1.6955612	8.106552	-10.822022	233.39659	2.2807705	522.5259916782379
33	-171.90704	20.023191	-135.29451	-203.03445	-147.51051	40.791084	-57.96961	-194.33786	110.0	110.0	54449	-237.377	20.618483	-187.70409	-318.56125	-237.3768	20.620049	-188.19652	-318.48672	0.5747745	1.6841282	7.870654	-10.352376	236.15735	2.3310618	539.4702422618866
34	-165.90976	30.056252	-102.32254	-206.2855	-147.86656	24.653849	-97.20637	-176.43561	110.0	110.0	56099	-239.79942	20.491253	-191.03029	-321.57187	-239.7992	20.49134	-191.11386	-321.41208	0.5742641	1.685219	7.8624644	-11.109082	238.59708	2.308009	558.0051877498627
35	-160.29385	23.530891	-123.26779	-193.662	-144.42813	27.709751	-93.23302	-186.38776	110.0	110.0	57749	-241.79808	20.630882	-194.00777	-324.76736	-241.79813	20.631733	-194.26479	-323.7553	0.569803	1.6776398	7.930526	-10.007378	240.61723	2.3685772	574.6733214855194
36	-169.1633	19.340633	-122.32735	-204.213	-139.1029	14.732631	-115.07863	-163.47896	110.0	110.0	59399	-243.6566	20.48377	-196.3256	-325.2484	-243.65659	20.483503	-196.52971	-325.1596	0.5639949	1.676212	8.231623	-8.961599	242.49857	2.3678498	592.2241430282593
37	-167.33464	28.349752	-116.71191	-204.21489	-154.82306	19.641758	-114.92012	-185.52112	110.0	110.0	61049	-245.51253	20.306267	-199.13083	-326.3612	-245.51236	20.306646	-199.30609	-325.27164	0.5615058	1.6683688	7.924673	-11.36672	244.3683	2.326882	610.5070023536682
38	-175.77711	28.302029	-111.14971	-225.98056	-152.43343	25.101374	-113.48388	-200.97572	110.0	110.0	62699	-247.08844	20.138466	-201.24133	-328.16275	-247.08829	20.13789	-201.60497	-327.2643	0.53880966	1.6551455	8.255589	-10.684029	245.9807	2.2807436	629.0067729949951
39	-157.56181	27.240782	-105.75301	-209.51021	-151.75644	17.463663	-120.972855	-187.84337	110.0	110.0	64349	-248.55847	19.944717	-203.40732	-329.2479	-248.55847	19.944757	-203.53113	-328.71304	0.5290126	1.6533173	8.264806	-10.533075	247.47325	2.2400427	647.6860980987549
40	-163.3325	25.23564	-121.664734	-213.37808	-152.09518	19.24078	-112.412254	-179.12323	110.0	110.0	65999	-250.09735	19.818674	-204.89954	-328.4614	-250.097	19.819202	-205.35292	-328.82178	0.5041299	1.6329288	8.017662	-13.297137	249.04382	2.2264664	666.7278819084167
41	-155.45044	30.884783	-104.37295	-214.34023	-134.17566	12.49031	-109.68287	-147.29877	110.0	110.0	67649	-251.45578	19.702614	-206.5498	-329.854	-251.45576	19.703365	-206.74345	-329.9144	0.49985266	1.6368729	8.046625	-11.998083	250.43129	2.1752257	686.9932470321655
42	-143.91942	21.963543	-110.42419	-175.9752	-145.82834	26.58521	-96.550995	-181.96921	110.0	110.0	69299	-252.69426	19.61923	-208.36014	-330.58942	-252.6941	19.62037	-208.04813	-332.63483	0.4828599	1.6260014	8.450354	-8.963264	251.6976	2.1484854	705.0115342140198
43	-159.70013	22.985987	-105.549965	-191.80324	-146.17303	34.96782	-71.26404	-186.03271	110.0	110.0	70949	-253.84894	19.528425	-209.45396	-329.68512	-253.84889	19.529716	-209.11766	-329.6182	0.47027737	1.6166266	8.466781	-11.867203	252.8809	2.1409445	723.8700423240662
44	-148.51831	21.716137	-102.79056	-184.17485	-129.24876	43.076202	-61.652412	-196.44481	110.0	110.0	72599	-254.67241	19.433132	-210.76602	-330.83554	-254.67227	19.434973	-210.75368	-331.38644	0.46358436	1.6163108	7.9595184	-9.790331	253.715	2.122804	740.3578317165375
45	-153.45102	23.208124	-98.902466	-191.6249	-137.98906	23.82486	-95.41353	-164.6402	110.0	110.0	74249	-255.40567	19.451101	-211.34297	-331.6642	-255.40558	19.453014	-211.1788	-333.72345	0.45312235	1.6032796	8.295013	-9.8437605	254.47318	2.169355	759.4129123687744
46	-146.27322	25.431297	-96.321556	-196.40097	-155.03027	16.76904	-121.72402	-180.58412	110.0	110.0	75899	-255.92473	19.386507	-211.84837	-333.2476	-255.92451	19.388014	-212.37102	-334.2212	0.45559323	1.5882908	7.969615	-9.368774	254.99617	2.0888512	777.8128869533539
47	-151.10529	25.29869	-105.58414	-184.96132	-139.45076	20.866772	-112.59989	-176.35806	110.0	110.0	77549	-256.61765	19.34836	-212.96657	-335.36417	-256.61728	19.350008	-213.77153	-336.43536	0.4356906	1.5835357	8.307542	-8.621134	255.71484	2.130183	796.2788956165314
48	-141.67543	22.738104	-98.44116	-194.79272	-144.70752	24.85245	-100.8802	-184.84549	110.0	110.0	79199	-257.12106	19.362175	-213.8967	-335.99597	-257.1208	19.36406	-214.39368	-336.07025	0.44019705	1.5800263	7.889642	-10.910318	256.23065	2.1225774	816.2629561424255
49	-153.31047	25.854841	-95.74665	-190.044	-149.3176	27.890816	-106.68512	-198.16788	110.0	110.0	80849	-257.6099	19.316568	-214.58899	-334.42947	-257.60992	19.318539	-215.05508	-334.96567	0.4181833	1.5716051	8.10724	-9.527517	256.7385	2.0889509	835.9520134925842
50	-151.11252	23.394484	-117.29508	-182.7212	-142.41159	21.528206	-107.13562	-176.66586	110.0	110.0	82499	-257.9836	19.305387	-215.41782	-336.0084	-257.98346	19.306568	-215.67642	-337.22968	0.41358453	1.5644952	7.975336	-8.705694	257.11734	2.1175556	854.2188575267792
51	-163.44427	25.950071	-89.85956	-204.8954	-140.14313	31.591938	-91.56057	-184.01303	110.0	110.0	84149	-258.3417	19.271446	-215.78355	-334.8612	-258.34155	19.273716	-215.70457	-336.12692	0.40822703	1.5635027	8.942206	-9.461651	257.48587	2.1027374	873.2286605834961
52	-130.67635	17.090893	-100.35928	-168.72137	-141.65619	24.182669	-96.18923	-185.18188	110.0	110.0	85799	-258.58142	19.21509	-216.1059	-335.17606	-258.5813	19.215733	-216.07846	-335.81372	0.39109516	1.5576845	8.340563	-8.942277	257.74417	2.0769844	893.3484721183777
