Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-6721.795	1967.394	-4120.0166	-10865.32	-6864.169	1765.4338	-4525.136	-10292.1875	110.0	110.0	1649	-104.18318	58.298233	0.3444269	-331.90277	-104.19777	58.111977	0.32528788	-328.42813	0.9834288	1.3591664	7.7026367	-10.762153	101.83719	2300.1853	6.822640657424927
2	-6895.0093	1852.3094	-3837.724	-10111.5205	-5229.0034	1504.5243	-3445.6672	-8635.477	110.0	110.0	3299	-398.8112	164.7766	-95.23352	-1086.5885	-398.79462	164.67293	-95.80902	-1083.9799	2.6174386	2.3875659	18.956314	-9.970175	392.29666	2491.48	19.45888090133667
3	-6955.1895	2382.8887	-3730.622	-11344.471	-6207.2764	3192.818	-2678.648	-12175.405	110.0	110.0	4949	-798.6082	234.21024	-230.39755	-1835.4862	-798.54785	234.41817	-226.81593	-1817.942	4.302346	2.763742	18.775782	-9.024139	782.89154	4655.8096	31.7667179107666
4	-6431.3745	1934.9891	-3280.7217	-9913.139	-5280.267	2589.6973	-880.3815	-8448.078	110.0	110.0	6599	-1127.1399	296.22708	-300.4331	-2177.6904	-1127.0797	296.4925	-311.36493	-2171.3132	5.217272	2.8740563	20.08503	-9.607967	1100.8021	6892.022	44.30402660369873
5	-7125.5347	1526.9025	-3330.6628	-9483.454	-4375.3916	4656.313	-227.02594	-13260.663	110.0	110.0	8249	-1334.8914	340.3424	-350.18143	-2517.364	-1334.861	340.42892	-362.9733	-2511.137	5.56573	2.958047	22.692778	-8.883869	1302.0388	7564.102	56.363526344299316
6	-6513.33	1657.2236	-3479.5496	-9398.695	-2051.2183	2507.9282	-551.54474	-9275.884	110.0	110.0	9899	-1490.5948	363.11646	-500.81128	-2792.2068	-1490.5911	363.1521	-502.95813	-2774.285	5.9433064	2.9930637	22.948254	-8.080898	1451.4097	7506.28	70.18736791610718
7	-2982.529	2722.09	-656.8217	-9342.463	-3757.3394	3002.4966	-684.44275	-10202.704	110.0	110.0	11549	-1596.7427	386.72955	-615.70807	-3016.438	-1596.7684	386.60474	-630.3271	-2996.2869	5.779204	3.0872695	20.851294	-7.754979	1558.134	6798.2666	86.235591173172
8	-2527.665	1907.9237	-111.53937	-6332.533	-3635.7332	2351.3625	-1208.152	-9017.623	110.0	110.0	13199	-1648.8411	435.1304	-653.9192	-3209.6963	-1648.8518	435.06607	-660.54285	-3199.859	5.420391	3.1962411	19.969887	-10.818027	1614.051	6004.462	100.999507188797
9	-2469.9932	1654.6699	-967.1795	-6801.146	-1528.0833	1487.9572	-86.42682	-4790.7827	110.0	110.0	14849	-1696.1755	475.08405	-732.40814	-3536.9717	-1696.1726	475.11044	-734.2723	-3530.3877	5.0834885	3.1644208	20.09497	-7.9660106	1664.6993	5649.5103	116.86235213279724
10	-2214.7795	1809.3777	-697.10284	-7948.3223	-3907.0493	2193.9377	-707.61066	-6847.293	110.0	110.0	16499	-1731.943	504.57697	-760.16583	-3764.9219	-1731.9182	504.64874	-763.1469	-3763.7317	4.859657	3.1302156	18.218363	-11.512075	1702.4961	5422.7017	132.6916229724884
11	-1876.6097	1717.009	-331.74704	-5653.78	-2363.1704	2148.2954	-291.38385	-7857.902	110.0	110.0	18149	-1773.0521	519.7162	-753.6503	-3940.745	-1773.0432	519.8095	-757.16705	-3944.6516	4.6559854	3.1195247	18.743835	-9.313718	1745.8573	5245.507	148.8311583995819
12	-2298.0818	1969.1589	-194.08463	-6765.712	-1463.1533	933.2964	-267.89523	-3439.9958	110.0	110.0	19799	-1805.6816	532.0065	-758.64496	-4100.3296	-1805.655	532.1947	-758.74255	-4096.844	4.5561786	3.1001468	21.900724	-10.005454	1779.9851	5126.58	164.8644027709961
13	-1930.202	980.78723	-257.67004	-3960.212	-1133.4661	699.2243	-185.70653	-2220.6157	110.0	110.0	21449	-1827.5786	556.3596	-743.98035	-4219.095	-1827.5648	556.5467	-749.4859	-4220.4775	4.434381	3.0652816	22.737053	-10.196809	1803.4285	4983.4487	179.5259244441986
14	-1567.4623	1546.3013	-63.849434	-5674.923	-2051.7817	1833.5804	-209.31775	-5295.0024	110.0	110.0	23099	-1849.1957	572.36053	-728.2581	-4299.653	-1849.1716	572.535	-738.784	-4292.868	4.371349	3.0184484	22.752048	-8.376758	1826.1191	5018.3447	195.26880621910095
15	-1837.0178	1533.7532	-253.00763	-7112.6475	-1640.5621	1041.9639	-244.89035	-3534.567	110.0	110.0	24749	-1856.3563	594.9043	-720.4166	-4430.7075	-1856.3287	595.1147	-729.1923	-4420.6416	4.3445973	3.0127215	21.317614	-8.286173	1834.0352	5067.282	211.34207105636597
16	-2108.0125	1300.3606	-112.76613	-4168.272	-1626.7665	1580.648	-103.91144	-5183.371	110.0	110.0	26399	-1862.7427	611.4671	-714.1243	-4438.4634	-1862.7134	611.6676	-718.6204	-4433.143	4.346177	2.983341	21.193228	-9.475982	1840.2435	5145.0986	226.31931710243225
17	-1442.3403	1197.3253	-327.19168	-4934.5366	-1588.9348	1833.0675	-70.87886	-6231.432	110.0	110.0	28049	-1860.195	619.51373	-707.8433	-4462.5386	-1860.1732	619.68634	-706.5796	-4456.0967	4.3472443	2.9896772	23.52711	-8.620757	1838.3242	5073.3477	240.23337602615356
18	-1497.8047	910.1602	-210.69225	-3277.0056	-1216.575	735.7418	-371.26993	-2474.9849	110.0	110.0	29699	-1836.2355	632.01685	-698.0025	-4469.904	-1836.2266	632.1332	-698.75366	-4468.0493	4.314576	2.9824812	22.132902	-8.579289	1814.8833	4971.2886	252.5246410369873
19	-1497.0682	1309.0404	-140.36465	-4807.8423	-1573.821	997.6731	-467.6842	-3416.722	110.0	110.0	31349	-1817.6194	645.3889	-670.7236	-4464.5596	-1817.6216	645.4495	-658.8118	-4474.113	4.269976	2.9470646	20.014565	-7.7487526	1796.5579	4808.449	264.782089471817
20	-1764.7722	1113.1525	-306.1578	-4225.2056	-1850.615	1401.5941	-140.91646	-4725.67	110.0	110.0	32999	-1791.5369	655.5234	-657.1684	-4463.2637	-1791.5366	655.5862	-650.4035	-4471.24	4.252356	2.9420424	22.165054	-7.856757	1771.2872	4675.728	277.9524042606354
21	-1062.9684	665.3128	-56.074223	-2021.1779	-1257.2009	904.3639	-479.7239	-3546.2576	110.0	110.0	34649	-1779.7964	663.5949	-637.76904	-4475.6284	-1779.7947	663.6041	-626.3898	-4489.897	4.1981483	2.8990304	23.56312	-8.296663	1760.5673	4587.8877	290.6862897872925
22	-1450.7094	924.45404	-265.76212	-3073.9663	-818.1959	324.28653	-370.7738	-1481.5908	110.0	110.0	36299	-1753.9695	668.6793	-599.8795	-4491.274	-1753.9695	668.6868	-583.945	-4511.272	4.1718564	2.9092827	21.980606	-9.482527	1735.0276	4494.2773	303.36769819259644
23	-1423.3561	1301.9915	-338.74527	-5300.5405	-1405.2312	909.71643	-337.10492	-2900.9841	110.0	110.0	37949	-1731.72	677.36865	-582.79083	-4489.1636	-1731.7275	677.3335	-565.2605	-4495.0347	4.1545677	2.8922331	24.296553	-8.949341	1713.5564	4394.935	316.6055886745453
