Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-7631.9146	1998.9767	-4333.3296	-11922.074	-6072.198	1858.9708	-2960.2236	-9115.572	110.0	110.0	1649	-354.58197	306.55127	0.22125676	-1538.2639	-354.16293	306.76947	0.48708856	-1536.0426	1.78912	1.5254741	4.6924996	-7.955886	345.3756	7648.914	10.825411319732666
2	-7322.4756	2110.9272	-3540.2625	-10479.232	-6165.23	1673.2029	-4228.516	-9603.232	110.0	110.0	3299	-2276.4092	779.26056	-606.54614	-4789.5205	-2276.3784	779.3836	-619.0382	-4794.5474	3.1993709	1.1412767	11.299069	-6.748068	2249.1882	8750.7705	34.71467089653015
3	-7545.9316	2073.7363	-4045.8357	-10929.532	-5168.0605	2038.2319	-2243.4524	-8889.996	110.0	110.0	4949	-3560.3945	607.6125	-2039.5392	-5198.523	-3560.3914	607.79926	-2033.0936	-5202.675	3.147696	1.2971392	13.369786	-8.599459	3532.0305	10525.64	54.43408942222595
4	-6293.437	2403.0344	-2332.4702	-10558.402	-5531.1665	2901.7268	-413.98764	-11446.335	110.0	110.0	6599	-3887.1362	683.05743	-2259.7825	-5929.271	-3887.1309	683.19763	-2268.7292	-5923.097	3.1766806	1.4912105	14.596689	-8.779182	3860.9937	9193.295	73.42935371398926
5	-4849.777	2777.0388	-1041.4114	-12840.285	-4211.4316	2133.4192	-765.9442	-8144.118	110.0	110.0	8249	-4210.9214	903.4793	-2287.682	-6410.9746	-4210.921	903.5891	-2297.8406	-6409.9185	3.0736141	1.6282482	13.612253	-9.114057	4191.2705	7847.5234	94.16057705879211
6	-4142.6914	2768.976	-820.98254	-8744.573	-4105.589	2855.4268	-520.1837	-8418.089	110.0	110.0	9899	-4184.144	972.29047	-1745.1384	-6619.7666	-4184.141	972.3421	-1741.2034	-6613.008	3.1859424	1.8150156	15.991947	-8.847436	4165.5747	7362.9556	115.64213442802429
7	-5292.3804	2623.5576	-631.44867	-9778.4	-3508.0059	2490.7603	-402.19678	-9119.49	110.0	110.0	11549	-3891.1262	909.7955	-1543.9448	-6644.5015	-3891.1248	909.85144	-1546.285	-6636.186	3.2945285	1.9646057	17.788055	-9.026007	3873.4807	6754.7095	135.8733696937561
8	-3063.1218	2672.5442	-457.9306	-9854.679	-2386.4165	1471.473	-548.6086	-4979.526	110.0	110.0	13199	-3799.2905	778.2559	-1592.8035	-6450.84	-3799.2727	778.3841	-1600.0399	-6441.397	3.282878	2.0120766	22.191326	-8.851412	3782.8867	6278.823	157.25163054466248
9	-3211.8079	2166.9082	-621.2159	-7219.041	-3214.397	2047.1787	-359.86813	-6415.66	110.0	110.0	14849	-3556.66	650.1574	-1648.7238	-6108.7725	-3556.627	650.3847	-1661.0616	-6100.5273	3.3705587	2.1438227	26.668962	-9.769358	3540.5896	6033.048	180.17718744277954
10	-3820.0984	2533.2993	-685.165	-10024.364	-5548.866	3410.0396	-578.57465	-12266.46	110.0	110.0	16499	-3359.6204	570.3133	-1933.1945	-5289.5835	-3359.583	570.56885	-1938.8855	-5279.505	3.4118552	2.1573558	22.261261	-11.235754	3344.2686	5868.337	200.94427514076233
11	-3006.3936	1596.7427	-769.8914	-6373.0503	-5033.6553	2634.7168	-601.074	-10477.556	110.0	110.0	18149	-3178.5874	591.1418	-2011.8734	-5074.4355	-3178.5557	591.36176	-2012.0273	-5067.6187	3.4305842	2.1925879	23.08773	-7.552535	3163.2483	5966.076	222.9605107307434
12	-3633.676	2051.529	-522.70776	-8253.714	-3509.4888	1895.3431	-906.0609	-6967.213	110.0	110.0	19799	-2974.16	619.87134	-1821.5406	-4987.6035	-2974.1448	619.9817	-1813.8021	-4998.7393	3.5097768	2.2790256	22.563314	-10.808742	2958.883	6043.068	244.82255148887634
13	-4770.0815	2972.8794	-888.7732	-9048.656	-2975.393	1607.5763	-473.84662	-5226.789	110.0	110.0	21449	-2846.567	666.3058	-1639.4978	-5064.085	-2846.5583	666.3557	-1637.0367	-5078.69	3.5593274	2.3614385	23.14605	-8.417668	2831.7114	6258.38	267.4873614311218
14	-3458.5781	2375.9375	-553.9151	-8468.992	-3269.7886	2151.0154	-533.57416	-8267.943	110.0	110.0	23099	-2833.7473	691.5521	-1567.0309	-5094.484	-2833.7334	691.59155	-1566.1125	-5103.1045	3.4419935	2.3130467	22.515799	-7.4379086	2819.4722	6088.526	288.8571925163269
15	-3721.6729	2828.9055	-561.916	-10673.573	-3203.0344	2400.9368	-606.5142	-8557.71	110.0	110.0	24749	-2828.8352	689.4137	-1596.5459	-5188.126	-2828.8188	689.4672	-1596.0756	-5197.453	3.3863235	2.28152	20.8002	-9.153268	2815.2698	6083.61	309.303587436676
16	-3058.2986	2100.6367	-807.4133	-8731.67	-1794.3428	1268.1105	-252.46776	-4558.2183	110.0	110.0	26399	-2817.2473	721.16626	-1535.7699	-5149.18	-2817.224	721.2592	-1537.9178	-5157.303	3.3391387	2.250873	19.03994	-8.485027	2804.0	5961.264	330.95511865615845
17	-2557.0186	1361.88	-719.7498	-5284.518	-3002.6313	2180.9622	-798.21893	-6529.583	110.0	110.0	28049	-2768.866	724.38214	-1472.1788	-5173.01	-2768.8337	724.498	-1478.1318	-5174.572	3.3023834	2.2071092	19.707521	-8.081531	2755.7546	5910.2793	352.1957447528839
18	-2440.427	1621.2623	-311.9431	-6422.335	-2049.0024	883.5612	-367.80865	-3120.8328	110.0	110.0	29699	-2689.1157	717.7737	-1355.9253	-4965.5264	-2689.0815	717.8914	-1361.9945	-4966.5645	3.3120418	2.1614146	21.491499	-7.79658	2676.482	5711.36	374.0364077091217
19	-3097.0125	2558.3108	-779.6958	-9667.935	-3086.4736	2697.752	-959.3949	-10531.892	110.0	110.0	31349	-2638.8186	715.029	-1244.029	-4977.077	-2638.797	715.14655	-1250.0856	-4977.679	3.2590523	2.1261952	19.444004	-10.328743	2626.8684	5689.586	396.94474959373474
20	-4080.1304	2997.51	-358.4573	-10245.74	-3188.979	2545.6045	-539.07166	-8171.4365	110.0	110.0	32999	-2599.0752	729.34686	-1189.3025	-5217.9263	-2599.06	729.435	-1194.4901	-5223.116	3.2393832	2.1004865	17.875393	-10.089311	2587.3481	5859.6206	419.27318572998047
21	-3422.063	2355.0942	-269.83386	-7292.5757	-3297.534	1768.2584	-733.9987	-6007.3433	110.0	110.0	34649	-2528.3538	737.5572	-1120.705	-5312.0586	-2528.3665	737.56445	-1127.8304	-5316.763	3.3219166	2.053257	18.878212	-9.775346	2516.2163	5917.7515	442.0317602157593
22	-1598.0306	996.3767	-93.29127	-3628.4194	-4391.318	2804.4922	-1351.3092	-9146.949	110.0	110.0	36299	-2447.7974	742.86316	-1020.36694	-5347.626	-2447.8372	742.7977	-1024.5222	-5355.7666	3.35542	2.0269842	17.42429	-11.270455	2435.6575	5702.0327	464.14356780052185
23	-3045.6787	2107.0105	-672.66144	-7705.2207	-3527.4233	2430.994	-786.42145	-9537.712	110.0	110.0	37949	-2397.486	758.17816	-933.61316	-5449.1465	-2397.5686	757.9681	-937.6859	-5460.094	3.41908	2.0702424	19.345713	-8.573959	2385.4033	5703.6895	485.4859097003937
24	-3627.3909	2044.9426	-945.9806	-8548.152	-3208.3428	2272.897	-563.2794	-8813.658	110.0	110.0	39599	-2356.9578	781.87634	-843.51306	-5545.3022	-2357.0642	781.4926	-848.7307	-5557.849	3.4223125	2.0995116	19.586521	-8.39491	2345.2861	5635.6313	509.2303206920624
25	-2983.7275	1794.7266	-941.83887	-7091.509	-5662.66	2806.566	-256.5966	-8566.335	110.0	110.0	41249	-2312.7058	795.4724	-749.0278	-5773.848	-2312.8635	794.9328	-754.52185	-5795.718	3.5300605	2.1339672	19.780424	-8.824354	2300.665	5759.552	532.8012828826904
