Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-217.57945	6.9828863	-199.6208	-227.34373	-196.59196	13.5949545	-166.75214	-208.59439	110.0	110.0	32999	-206.93619	2.088858	-201.1645	-215.42688	-206.93617	2.0858326	-201.54811	-215.29617	-0.3775771	0.8198103	1.214763	-9.233989	206.88954	0.4330178	316.93258833885193
21	-216.06566	7.6711636	-200.53542	-226.55388	-190.5629	11.718726	-174.39511	-203.93535	110.0	110.0	34649	-205.7639	2.1624537	-199.92181	-214.69804	-205.76382	2.1612494	-199.96378	-214.8087	-0.3647847	0.82342714	1.1291003	-9.372434	205.70909	0.4188366	332.27810740470886
22	-217.06972	7.087985	-202.53824	-229.52737	-194.32718	8.321768	-173.41142	-203.16876	110.0	110.0	36299	-204.45952	2.0897453	-198.68085	-213.01524	-204.45932	2.0868623	-198.24156	-213.1103	-0.34685493	0.8281043	1.357443	-11.488208	204.40567	0.42090303	347.9674792289734
23	-214.61906	8.234202	-200.205	-230.27864	-187.32162	12.958773	-166.52232	-210.97835	110.0	110.0	37949	-203.59384	2.029963	-197.33827	-212.67651	-203.59396	2.028502	-198.20221	-212.04723	-0.33607382	0.83129543	1.0947399	-10.403311	203.53957	0.41036755	364.2338502407074
24	-211.01895	7.3450875	-201.32947	-227.41081	-185.69139	11.281255	-167.10068	-203.55493	110.0	110.0	39599	-202.78442	2.0480986	-197.25523	-212.4875	-202.78455	2.0435874	-197.39812	-212.34724	-0.31653205	0.8285443	1.109103	-9.43557	202.73224	0.41580632	381.2348954677582
25	-210.60594	7.3571177	-196.47285	-228.37659	-187.85387	10.564	-164.4294	-201.87138	110.0	110.0	41249	-201.91315	2.0886648	-195.79987	-211.6042	-201.91315	2.0887878	-196.21399	-211.20883	-0.30499002	0.8378301	1.258502	-9.412959	201.8703	0.43171912	396.59942746162415
26	-208.1469	6.25742	-197.586	-220.57587	-187.25111	9.613555	-169.69983	-198.31102	110.0	110.0	42899	-200.83691	2.1819453	-194.78142	-210.71466	-200.83691	2.1774035	-194.51682	-210.78395	-0.29115438	0.8383471	1.4957374	-9.074758	200.77795	0.41665193	413.62935733795166
27	-209.1528	9.40324	-192.29036	-225.31812	-184.65549	11.973189	-170.57466	-202.75389	110.0	110.0	44549	-199.96057	2.1798098	-193.38185	-209.87198	-199.96065	2.1761503	-193.20164	-210.3917	-0.28093436	0.8430395	1.544623	-10.060728	199.9178	0.4172839	430.59239315986633
28	-206.42296	5.833585	-196.05762	-214.06462	-189.61136	15.585796	-146.86797	-202.8358	110.0	110.0	46199	-198.92947	2.3103828	-191.82376	-208.79292	-198.92946	2.304333	-191.80031	-209.77948	-0.26108283	0.84684974	1.6675824	-10.014465	198.88895	0.43435556	447.27926445007324
29	-208.90593	7.2955046	-192.50458	-221.01427	-182.88333	13.877201	-155.11574	-204.33318	110.0	110.0	47849	-198.00421	2.415251	-190.89505	-208.7508	-198.00421	2.410578	-190.86163	-209.1837	-0.24823233	0.85506135	1.6809117	-9.985845	197.95955	0.43560332	464.32404947280884
30	-204.29213	6.876956	-195.3545	-218.22276	-176.63713	18.920261	-138.36844	-205.15799	110.0	110.0	49499	-197.08981	2.4387763	-190.20354	-208.86377	-197.08987	2.4330347	-190.19466	-208.97807	-0.24143364	0.854355	1.9872922	-10.8213415	197.04308	0.43782434	480.4778447151184
31	-206.42067	7.2218356	-192.19867	-218.21736	-181.81024	16.437449	-143.95149	-199.42805	110.0	110.0	51149	-196.33557	2.4494288	-189.16772	-207.49286	-196.33537	2.4426203	-188.71954	-208.62341	-0.23180445	0.8538754	2.0185666	-10.115113	196.2902	0.4582118	497.56747221946716
32	-199.69926	9.974557	-186.21751	-225.76099	-193.56618	5.6069527	-182.63867	-202.86714	110.0	110.0	52799	-195.56383	2.459931	-188.78296	-206.8393	-195.56396	2.4489114	-188.67838	-206.80223	-0.21614128	0.8664443	2.1579864	-10.889153	195.51993	0.46801373	514.7142372131348
