Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-6361.546	6215.9004	-994.75195	-24269.014	-2667.9023	2087.854	-391.19016	-7294.795	400.0	400.0	119999	-8822.97	2847.0942	-3495.3733	-20124.059	-8823.022	2846.8867	-3510.5105	-20100.102	4.023775	3.2163057	58.835567	-11.124814	8810.116	4024.723	882.8736491203308
21	-5903.7856	6841.292	-500.60956	-25453.73	-2974.7395	3777.891	-206.32768	-13472.808	400.0	400.0	125999	-9080.667	3049.4568	-3502.4617	-21062.32	-9080.707	3049.2705	-3512.4822	-21037.254	3.9714437	3.1085095	53.378105	-12.183631	9069.564	4067.4194	928.5585844516754
22	-2983.326	1938.7249	-437.07147	-7814.0513	-5393.489	6126.2905	-841.3503	-23018.393	400.0	400.0	131999	-9297.877	3174.8535	-3518.157	-21813.205	-9297.956	3174.5015	-3523.583	-21814.475	4.031652	2.996801	71.4724	-11.491299	9286.172	4246.035	973.6330916881561
23	-4529.835	2949.2422	-252.47836	-8634.274	-4567.0244	5317.1963	-782.38947	-18845.475	400.0	400.0	137999	-9508.383	3292.5159	-3510.77	-22668.938	-9508.466	3292.1255	-3517.9358	-22684.396	3.9619358	2.9225457	45.062244	-9.0275135	9497.908	4258.9727	1018.8706803321838
24	-3533.7644	2170.2327	-183.20982	-7638.73	-4135.876	2462.002	-472.21625	-8491.129	400.0	400.0	143999	-9727.493	3415.9324	-3552.4575	-23518.938	-9727.582	3415.5457	-3577.3818	-23528.684	3.9893312	2.86937	50.19774	-12.55054	9717.674	4235.299	1064.6859724521637
25	-4742.4663	4162.6157	-1077.1168	-17655.998	-2967.4543	3504.5215	-325.24655	-13113.57	400.0	400.0	149999	-9939.695	3520.8933	-3590.4556	-24259.604	-9939.795	3520.4685	-3606.5876	-24349.705	3.9458878	2.840871	48.05365	-8.638875	9930.293	4242.642	1110.2108471393585
26	-3069.24	1757.9603	-352.07693	-6586.924	-3056.8857	3035.0884	-388.6684	-9021.054	400.0	400.0	155999	-10153.688	3638.8242	-3670.1423	-24971.348	-10153.792	3638.3967	-3683.968	-25080.982	3.932308	2.8651898	49.387733	-11.155433	10144.932	4304.3135	1155.8531749248505
27	-4336.8613	3132.664	-694.9496	-12683.305	-2213.9507	1261.8066	-417.17545	-4613.936	400.0	400.0	161999	-10397.204	3742.6636	-3729.297	-25787.297	-10397.298	3742.281	-3725.7437	-25879.623	3.8994	2.775154	45.90389	-10.642751	10388.982	4167.3022	1200.2817959785461
28	-5835.034	4339.404	-1211.1898	-16614.148	-2458.783	1514.7528	-418.37442	-5467.5435	400.0	400.0	167999	-10702.559	3910.561	-3732.2468	-26625.531	-10702.664	3910.173	-3714.5657	-26758.527	3.8736486	2.7145412	59.724525	-8.738602	10694.252	4216.862	1243.9563264846802
29	-4280.304	3266.507	-901.27155	-13034.929	-5180.0073	4819.991	-194.33646	-16415.354	400.0	400.0	173999	-10977.607	4069.203	-3743.8523	-27453.775	-10977.718	4068.8125	-3723.5315	-27576.795	3.8625162	2.7284923	49.801422	-11.681614	10969.736	4237.2305	1288.2466361522675
30	-2194.4626	1343.4075	-433.49826	-5371.5835	-2430.2095	2454.7307	-943.0388	-8884.388	400.0	400.0	179999	-11180.481	4192.711	-3784.514	-28358.844	-11180.578	4192.352	-3772.6763	-28455.578	3.9121978	2.7509136	52.016335	-10.740009	11172.102	4205.613	1333.938068151474
31	-2881.1472	2675.9795	-181.24686	-9504.968	-4519.9424	3578.6248	-802.9871	-10353.482	400.0	400.0	185999	-11329.775	4335.1733	-3812.804	-29252.203	-11329.879	4334.8213	-3794.033	-29379.941	3.9169846	2.7570777	52.880043	-9.929516	11320.92	4118.111	1379.600445508957
32	-3937.2312	2669.9268	-234.84097	-10791.876	-2993.2515	2120.622	-134.13112	-6552.509	400.0	400.0	191999	-11500.21	4478.282	-3842.0442	-30087.578	-11500.317	4477.9326	-3820.765	-30187.6	3.9306087	2.723903	50.778427	-9.58264	11492.179	4137.942	1422.9068796634674
33	-4844.021	3304.2668	-446.0742	-11924.449	-3669.1692	2492.735	-356.538	-6638.841	400.0	400.0	197999	-11719.712	4619.5513	-3856.7737	-30941.135	-11719.814	4619.2085	-3825.6123	-31034.893	4.017555	2.7867746	59.5495	-9.762837	11711.216	4104.96	1468.27743601799
34	-2641.0452	1749.1906	-769.226	-7369.12	-3100.8616	2951.222	-307.90753	-9135.519	400.0	400.0	203999	-11931.004	4733.009	-3847.6462	-31720.02	-11931.104	4732.673	-3818.7363	-31836.957	3.9562972	2.7291536	61.034504	-11.302022	11923.197	4016.9478	1513.7917122840881
35	-3992.472	3353.317	-630.5503	-10483.526	-4192.036	3065.673	-527.3497	-9187.491	400.0	400.0	209999	-12129.076	4877.257	-3878.0674	-32271.744	-12129.149	4876.99	-3883.4153	-32385.264	3.9026008	2.6307526	49.92275	-10.88092	12121.48	3844.878	1559.8127250671387
