Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-1313.062	689.75183	-149.05836	-2580.8472	-1329.5344	853.47485	-384.092	-3072.698	110.0	110.0	32999	-648.85333	756.9167	621.9479	-5100.094	-648.85626	756.8225	618.062	-5030.37	4.717408	2.966751	26.607834	-10.495461	632.31726	4026.4783	430.81468987464905
21	-1130.1678	616.3961	-431.71863	-2952.041	-1347.5547	892.2079	-94.10227	-3149.1865	110.0	110.0	34649	-534.5928	689.943	689.8984	-4649.9536	-534.6007	689.84796	710.7801	-4581.55	4.7990017	3.0389233	30.47661	-7.3468366	517.908	3961.2812	453.1908404827118
22	-901.1933	442.59494	-348.53488	-2016.7864	-928.40265	345.77927	-356.61185	-1439.4391	110.0	110.0	36299	-443.48645	646.9483	782.6392	-4146.3926	-443.48572	646.88336	771.1695	-4097.1016	4.8524275	3.112203	31.388758	-7.898087	426.99158	3991.8503	475.07889556884766
23	-1257.3848	727.4559	-232.86858	-3118.625	-1328.4558	940.8359	-126.36254	-3097.6497	110.0	110.0	37949	-472.47534	597.6005	670.9451	-4081.268	-472.46207	597.6499	650.3997	-4024.9526	4.6712966	3.0663786	34.03024	-6.9345512	457.7972	3656.5947	496.78818821907043
24	-1058.2683	796.94556	-40.72896	-2784.5737	-653.08453	410.7923	-117.12166	-1467.0399	110.0	110.0	39599	-494.2431	618.27374	708.2015	-3805.3037	-494.22375	618.3432	699.7466	-3842.1443	4.628721	2.9750013	33.609837	-10.229412	479.82993	3610.8909	518.9750056266785
25	-956.2189	753.33466	-303.42255	-2748.89	-964.5369	696.632	-132.7549	-2698.2883	110.0	110.0	41249	-457.45633	606.47003	761.3946	-3554.9128	-457.4479	606.553	747.917	-3612.9766	4.551219	2.9627066	36.19429	-11.206143	443.1622	3517.2266	541.0654857158661
26	-842.6934	686.2609	-197.36375	-2576.1187	-971.78503	550.3026	-241.28697	-2198.1047	110.0	110.0	42899	-492.4607	595.2117	661.2135	-3522.3054	-492.45963	595.2184	660.4803	-3647.3936	4.489162	2.934316	34.779716	-7.8291044	479.43857	3360.013	563.1715891361237
27	-1077.035	620.5011	-74.43407	-2099.666	-835.48	550.1615	-207.05952	-2147.2893	110.0	110.0	44549	-493.9406	583.04004	609.30286	-3505.709	-493.94086	582.9696	555.35565	-3610.042	4.463775	2.9770772	30.098827	-11.427684	481.44128	3339.962	584.2633676528931
28	-1300.4412	699.27673	-245.15915	-2458.9028	-720.45874	558.3678	-138.89381	-1905.1425	110.0	110.0	46199	-500.60397	561.22125	654.3318	-3346.3474	-500.5965	561.102	594.0267	-3414.3281	4.4260507	2.9341836	33.634087	-7.770014	488.66092	3213.8894	604.9986565113068
29	-1146.9712	646.92786	-228.15729	-2547.3325	-1250.2194	774.29285	-170.97797	-2535.5476	110.0	110.0	47849	-516.6172	548.6022	672.3591	-3417.7153	-516.6316	548.54535	571.19934	-3324.758	4.369581	2.8740473	37.415676	-7.4304724	505.18683	3152.5298	626.0858681201935
30	-783.66986	436.25586	-169.43614	-1576.0691	-894.7461	543.42316	-364.6122	-2044.3792	110.0	110.0	49499	-526.8236	554.3887	631.657	-3546.4106	-526.80725	554.3926	591.043	-3395.259	4.321396	2.80533	31.354694	-7.790301	515.69104	3157.3608	648.3034682273865
31	-1036.2073	579.50525	-176.13998	-2215.3938	-1015.64764	671.57153	-26.671028	-2543.5781	110.0	110.0	51149	-471.37097	562.09424	697.9303	-3570.9873	-471.38593	561.9627	716.6772	-3550.482	4.347575	2.8293562	31.07604	-7.0515184	459.98978	3213.5127	669.5794069766998
32	-872.54376	336.98132	-294.17114	-1646.0028	-820.0612	505.74936	-219.22432	-1906.7748	110.0	110.0	52799	-422.79123	551.73206	751.6723	-3261.7869	-422.79758	551.6459	785.4891	-3244.3325	4.336138	2.8517854	32.186993	-9.425507	411.5934	3177.726	690.7617433071136
33	-1138.8032	721.8696	-286.55832	-3007.5881	-1032.7429	678.52985	-341.34875	-2566.7856	110.0	110.0	54449	-436.72818	566.7814	817.8538	-3322.1853	-436.74966	566.6624	876.84467	-3248.36	4.2652187	2.8576193	37.723866	-6.911715	426.28033	3148.397	712.180180311203
34	-661.08777	282.55124	-229.54376	-1329.5115	-1148.2922	797.48944	-477.93915	-3278.6047	110.0	110.0	56099	-465.62314	589.2881	915.3967	-3544.7388	-465.6351	589.1935	979.87506	-3523.3135	4.2125163	2.83721	42.281628	-7.662459	455.96533	3257.6985	733.2451317310333
35	-1134.3383	1120.5826	-172.42603	-4815.1484	-514.8355	270.536	-82.64077	-844.734	110.0	110.0	57749	-453.65225	605.48517	962.3113	-3572.9685	-453.66705	605.41754	970.0509	-3513.9023	4.2964025	2.8568072	33.735954	-6.457362	443.75867	3315.8508	754.7472970485687
36	-935.98865	470.09085	-307.63205	-1879.857	-1286.9065	1008.81537	-112.05651	-3569.799	110.0	110.0	59399	-376.83868	563.3943	989.86993	-3421.0754	-376.83868	563.34094	962.8996	-3302.167	4.3674517	2.952008	32.07775	-7.946549	366.63614	3347.4746	775.5134160518646
37	-1215.1498	1099.5853	-355.80392	-5064.541	-1063.1448	930.9016	-164.50189	-3263.6487	110.0	110.0	61049	-363.60403	529.712	978.83734	-3262.4553	-363.6011	529.6727	949.22754	-3263.507	4.338501	2.9271364	32.95241	-10.326372	353.74582	3288.912	796.698618888855
38	-1278.579	716.5161	-109.32757	-2308.193	-1005.4424	670.03174	-369.98395	-2791.9124	110.0	110.0	62699	-383.14066	525.5937	907.28784	-3340.7715	-383.1445	525.5973	904.74976	-3297.6545	4.3073797	2.918368	30.72646	-12.253588	373.80994	3262.043	817.8917174339294
39	-713.9686	531.01514	-140.53662	-1625.8276	-1174.47	611.74	-318.28323	-2460.3433	110.0	110.0	64349	-383.7111	535.82	927.977	-3244.5974	-383.7025	535.6945	952.35645	-3326.172	4.246467	2.9084508	32.347153	-6.7056937	374.48068	3164.768	839.539234161377
40	-644.8707	326.51868	-146.48827	-1174.6797	-1028.7253	692.4843	-337.7013	-2921.8992	110.0	110.0	65999	-404.5604	526.3125	876.9322	-3230.2556	-404.55405	526.3405	924.82245	-3251.1914	4.22494	2.8922255	35.14369	-9.805739	395.89496	3074.0728	861.5088088512421
41	-1072.8239	572.92755	-222.9176	-1993.4832	-1061.4116	743.27155	-252.8331	-2498.1306	110.0	110.0	67649	-412.51385	516.8978	854.37244	-3283.029	-412.50787	516.91925	870.2154	-3213.1223	4.158057	2.8517041	34.52506	-6.6808987	404.00977	3026.5952	883.8080184459686
42	-1089.6024	888.53174	-266.34167	-3656.7524	-971.2966	731.57404	-206.5807	-2348.2532	110.0	110.0	69299	-387.44016	522.05176	744.32684	-3134.9868	-387.42862	521.8645	733.5744	-3178.7017	4.1775575	2.818094	32.424934	-7.3187995	378.6519	3053.7712	905.1766529083252
43	-928.3078	585.23987	-176.12665	-2341.0051	-1708.6246	1199.7677	-148.43472	-4629.875	110.0	110.0	70949	-351.25436	507.0468	723.06354	-3212.91	-351.25342	506.95227	705.4117	-3175.1646	4.1828012	2.79525	30.995815	-8.858037	342.86044	2938.3044	926.6949689388275
44	-1079.7748	602.03595	-429.74896	-2318.4595	-1014.11926	711.0657	-174.81967	-2613.266	110.0	110.0	72599	-354.5832	488.08762	658.19147	-3084.7473	-354.57068	487.91632	643.4447	-3039.6394	4.205583	2.8831153	34.327957	-8.463974	346.22415	2838.1382	948.6956806182861
45	-781.4861	430.72037	-277.4671	-1681.7052	-947.3372	610.66626	-147.71622	-2066.9119	110.0	110.0	74249	-373.2474	475.46378	656.77484	-3034.0344	-373.2558	475.51752	608.01556	-3013.606	4.2076206	2.8764987	36.815952	-7.6771584	365.34094	2802.7078	970.2163882255554
46	-1081.5933	799.7992	-236.04424	-2947.098	-794.3367	475.41937	-151.02802	-1477.6548	110.0	110.0	75899	-387.0572	468.26285	573.08484	-3004.0298	-387.07022	468.18237	549.90857	-2969.6345	4.183611	2.8658075	34.199146	-7.854126	379.37827	2707.6553	991.9302327632904
47	-810.0544	434.09286	-340.12424	-1885.1707	-722.9699	369.13153	-89.45804	-1214.9185	110.0	110.0	77549	-379.816	457.48825	523.7809	-2924.414	-379.83627	457.55588	539.9267	-3006.7437	4.1222687	2.8295877	33.674526	-8.345533	372.04257	2654.7476	1013.9162945747375
